quiz_id,q_number,q_text
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,1,"How would you describe your relationship with coffee?"
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,2,"Someone places a small treat next to your coffee. Without thinking, which do you grab?"
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,3,"When you finish a really good cup of coffee, what made it good?"
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,4,"You try a new coffee black. What's your first reaction?"
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,5,"Which of these would bother you most about a cup of coffee?"
18e1bb9b-66b6-40a3-92b2-8f8e216c0655,6,"Someone hands you a coffee that's a little more bitter than expected. What's your honest reaction?"
